iter	RMSE
824	50070.80755
825	50065.99982
826	50061.23263
827	50031.75311
828	50015.12993
829	50010.41997
830	50005.74826
831	49976.47136
832	49947.37551
833	49913.19126
834	49893.24382
835	49864.40324
836	49807.36357
837	49802.76476
838	49783.16006
839	49706.20817
840	49677.49627
841	49644.242
842	49615.79163
843	49468.34785
844	49322.85373
845	49320.3681
846	49317.90433
847	49315.45879
848	49295.70991
849	49293.28809
850	49282.20926
851	49138.48579
852	49136.06881
853	49131.56951
854	49127.10679
855	49124.72532
856	49120.30704
857	49115.92327
858	49111.55584
859	49107.22273
860	49102.9231
861	49065.60964
862	48991.97756
863	48987.70594
864	48949.08387
865	48944.85493
866	48940.65757
867	48916.46632
868	48912.54074
869	48884.34727
870	48846.32482
871	48842.43595
872	48838.0266
873	48834.19194
874	48808.21163
875	48803.86952
876	48736.50483
877	48733.22871
878	48705.46443
879	48701.19545
880	48697.94518
881	48679.49996
882	48676.30307
883	48673.13367
884	48635.92038
885	48560.32382
886	48556.48168
887	48553.29796
888	48527.82006
889	48509.78691
890	48436.64073
891	48435.25877
892	48403.96349
893	48379.84869
894	48356.82117
895	48353.71889
896	48350.64213
897	48346.75963
898	48301.77576
899	48300.41006
900	48275.22495
901	48271.38014
902	48267.56387
903	48263.77551
904	48246.25699
905	48242.31655
906	48215.02616
907	48197.81857
908	48194.10351
909	48052.86226
910	48008.87444
911	47869.96044
912	47868.01988
913	47865.85882
914	47863.82411
915	47840.07102
916	47804.10511
917	47777.33449
918	47775.19329
919	47773.88618
920	47770.41083
921	47768.44778
922	47741.72052
923	47738.07161
924	47714.57689
925	47691.14515
926	47647.78198
927	47624.56914
928	47621.1404
929	47596.70784
930	47592.91398
931	47575.94721
932	47558.8052
933	47555.4346
934	47418.19027
935	47391.92018
936	47323.57262
937	47296.89639
938	47244.88908
939	47222.08885
940	47219.99804
941	47194.8413
942	47177.94629
943	47174.5392
944	47171.41216
945	47167.52508
946	47150.94627
947	47147.10968
948	47121.43252
949	47105.12819
950	47083.03382
951	47057.59201
952	47039.43406
953	46971.00406
954	46969.1389
955	46955.28733
956	46951.99452
957	46948.95879
958	46945.95091
959	46942.70976
960	46939.44063
961	46915.77724
